Dataset,Nodi Gestore,Nodi Worker,Core,Scenario,KMeans - Mean,KMeans - Std,KMeans - Best K,KCenter - Mean,KCenter - Std,KCenter -Best K
Aosta,1,0,2,Sequenziale,183.4446075416,61.088403900792265,11,1.4401783323,0.05210759626297803,14
Aosta,1,0,1,Parallelo,259.9037321695,57.76534547767136,14,10.8207100222,0.20907720714472425,11
Aosta,1,0,2,Parallelo,224.9962099151,19.744244731730046,18,9.1308611194,0.5482395508620749,7
Aosta,1,0,4,Parallelo,149.8842069418,28.24430578222311,20,6.7396134867,0.3011019972509256,6
Aosta,1,0,8,Parallelo,124.50256515180001,13.010176678109278,10,5.5632796095,0.1595815973325635,6
Aosta,1,0,16,Parallelo,133.6734969415,12.651984069066597,14,5.3869476901,0.17491636197834484,10
Aosta,1,0,32,Parallelo,131.5893973409,13.695870873399658,20,6.017309291,0.09979576680362508,16
Aosta,1,2,2,Distribuito,211.7712309972,18.50585035524671,8,8.486178351000001,0.1689472614450299,7
Aosta,1,4,2,Distribuito,228.460797757,36.07940708118516,14,8.6820900149,0.4385053435706438,11
Aosta,1,8,2,Distribuito,170.42926322019997,12.82187510979303,15,8.8809755474,0.5886126778589758,6
Aosta,1,16,2,Distribuito,219.08410565620002,14.881655356415086,9,9.2164615951,0.4798759239776588,12
Umbria,1,0,2,Sequenziale,862.3639415778001,133.98987574868934,19,8.735281547,0.5932002148923488,15
Umbria,1,0,1,Parallelo,1276.7517630488,163.6620391653388,16,36.9175301735,0.33466210718913175,14
Umbria,1,0,2,Parallelo,1135.7344764314998,125.14588445537633,20,33.5404320615,0.24418275969073355,13
Umbria,1,0,4,Parallelo,586.648993286,66.80761777414519,20,18.1646291411,0.27871563490334644,9
Umbria,1,0,8,Parallelo,353.78593095739996,28.581303504919493,19,10.2478733874,0.5004969686740134,8
Umbria,1,0,16,Parallelo,313.5063910326,33.776803548892836,17,7.2825663464999995,0.24648842755375736,8
Umbria,1,0,32,Parallelo,298.0079092288,55.9018845286933,18,6.0098301741,0.2792090324323971,12
Umbria,1,2,2,Distribuito,1196.2066534014002,139.35062170900318,19,31.9832490554,0.44663721442667437,8
Umbria,1,4,2,Distribuito,833.4537761036001,71.70446980632035,18,33.2411768655,0.5532127475559114,17
Umbria,1,8,2,Distribuito,1083.9790222449003,139.61909769141525,13,32.8538387959,0.1453017478198182,8
Umbria,1,16,2,Distribuito,760.0020130071,81.91419599326237,20,30.8834368627,0.18296320972903507,7
Roma,1,0,2,Sequenziale,1984.123534803,185.36503373025292,15,18.1819754312,0.5230495955562551,13
Roma,1,0,1,Parallelo,3649.241687329,472.0072638381813,19,66.6379821668,1.500462825115624,12
Roma,1,0,2,Parallelo,3008.7191974853004,360.7225569126044,19,59.201703314,0.43937516677484156,16
Roma,1,0,4,Parallelo,1662.6847648654998,220.59853347012594,18,32.1873169785,0.8377839646793804,8
Roma,1,0,8,Parallelo,654.6608954901001,61.18817000426492,19,17.2266194821,0.8566369002287105,8
Roma,1,0,16,Parallelo,565.2180429303,77.50329814637577,20,9.5443051332,0.46816648520540194,14
Roma,1,0,32,Parallelo,510.56758954810005,58.36178673345061,19,7.4870080455,0.24476197226536653,9
Roma,1,2,2,Distribuito,3114.9308114369,287.0957636467549,19,63.1269916625,0.5001110381252046,7
Roma,1,4,2,Distribuito,2103.5917026862,242.13096635530079,18,60.3957498802,0.19127465656219253,9
Roma,1,8,2,Distribuito,3084.1370085405006,401.9021211016547,17,60.2351192763,0.21990621449246284,17
Roma,1,16,2,Distribuito,2894.9081560069,220.86979633058777,20,57.1363361596,0.30024327827280206,19
Italia,1,0,4,Parallelo,-,-,-,1063.4881252364,50.71166823940998,8
Italia,1,0,8,Parallelo,-,-,-,542.6383480302,20.90880300673841,11
Italia,1,0,16,Parallelo,-,-,-,281.45422228300004,13.379410513183766,6
Italia,1,0,32,Parallelo,-,-,-,172.8099369059,19.26282819994414,9
Italia,1,0,64,Parallelo,-,-,-,156.5980191439,7.983238065376337,7
Italia,1,0,96,Parallelo,-,-,-,81.5880098757,6.505694367860193,9
Italia,1,2,16,Distribuito,-,-,-,314.237190534,11.533683992372584,10
Italia,1,4,16,Distribuito,-,-,-,292.9683639283,16.20796903661988,10
Italia,1,8,16,Distribuito,-,-,-,290.65273293440003,13.77828570532259,14
Italia,1,16,16,Distribuito,-,-,-, 297.90595254819993, 13.752197942935235,6
